idPartido,nombreEquipo,esLocal,equipo vs,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,numeroDeGolesLocales,NumeroDeGolesVisitantes,resultado,TipoLiga,ImportanciaLiga,Fecha

0,Argentina,true,Costa Rica,12,6,21,3,16,5,14,6,1,74%,1,null,2,775,692,89%,3,1,1,Friendlies,5,2024-03-27T02:50:00+00:00
1,Argentina,true,El Salvador,14,6,24,4,16,8,13,11,2,79%,0,null,1,922,847,92%,3,0,1,Friendlies,5,2024-03-23T00:00:00+00:00
2,Argentina,false,Brazil,2,2,8,4,3,5,16,3,1,50%,0,0,3,425,366,86%,0,1,1,World Cup - Qualification South America,25,2023-11-22T00:30:00+00:00
3,Argentina,true,Uruguay,3,3,12,6,6,6,11,8,5,63%,4,null,0,576,495,86%,0,2,0,World Cup - Qualification South America,25,2023-11-17T00:00:00+00:00
4,Argentina,false,Peru,6,2,10,2,6,4,10,1,2,66%,0,null,0,673,601,89%,0,2,1,World Cup - Qualification South America,25,2023-10-18T02:00:00+00:00
5,Argentina,true,Paraguay,4,7,15,4,8,7,10,9,3,75%,1,null,1,741,671,91%,1,0,1,World Cup - Qualification South America,25,2023-10-12T23:00:00+00:00
6,Argentina,false,Bolivia,8,6,15,1,7,8,10,4,1,60%,0,0,2,481,393,82%,0,3,1,World Cup - Qualification South America,25,2023-09-12T20:00:00+00:00
7,Argentina,true,Ecuador,4,5,13,4,7,6,9,4,2,71%,1,null,3,706,620,88%,1,0,1,World Cup - Qualification South America,25,2023-09-08T00:00:00+00:00
8,Argentina,false,Indonesia,7,8,21,6,13,8,14,12,null,74%,1,null,2,755,699,93%,0,2,1,Friendlies,5,2023-06-19T12:30:00+00:00
9,Argentina,true,Australia,5,3,11,3,7,4,9,7,2,55%,0,null,1,621,550,89%,2,0,1,Friendlies,5,2023-06-15T12:00:00+00:00
10,Argentina,true,Curaçao,2,2,4,0,2,2,3,2,null,50%,null,null,0,125,110,88%,7,0,1,Friendlies,5,2023-03-28T23:30:00+00:00
11,Argentina,true,Panama,1,1,4,2,1,3,5,3,null,74%,0,null,0,193,173,90%,2,0,1,Friendlies,5,2023-03-23T23:30:00+00:00
12,Argentina,true,France,10,7,20,3,12,8,26,6,4,54%,5,null,2,635,525,3,3,1,World Cup,60,2022-12-18T15:00:00+00:00
13,Argentina,true,Croatia,7,1,9,1,6,3,15,2,1,39%,2,null,3,399,333,3,0,1,World Cup,60,2022-12-13T19:00:00+00:00
14,Argentina,false,Netherlands,5,5,14,4,5,9,18,8,2,48%,8,0,0,602,499,2,2,1,World Cup,50,2022-12-09T19:00:00+00:00
15,Argentina,true,Australia,5,7,14,2,11,3,8,1,3,61%,0,null,1,695,610,2,1,1,World Cup,50,2022-12-03T19:00:00+00:00
16,Argentina,false,Poland,12,7,23,4,20,3,11,9,1,73%,1,null,0,868,800,0,2,1,World Cup,50,2022-11-30T19:00:00+00:00
17,Argentina,true,Mexico,2,3,5,0,2,3,15,4,2,59%,1,null,1,528,446,2,0,1,World Cup,50,2022-11-26T19:00:00+00:00
